picture,item,expected,angle
images/main/1_50_same.jpg,1,same,50
images/main/1_50_different.jpg,1,different,50
images/main/1_150_same.jpg,1,same,150
images/main/1_150_different.jpg,1,different,150
images/main/2_50_same.jpg,2,same,50
images/main/2_50_different.jpg,2,different,50
images/main/2_150_same.jpg,2,same,150
images/main/2_150_different.jpg,2,different,150
images/main/3_50_same.jpg,3,same,50
images/main/3_50_different.jpg,3,different,50
images/main/3_150_same.jpg,3,same,150
images/main/3_150_different.jpg,3,different,150
images/main/4_50_same.jpg,4,same,50
images/main/4_50_different.jpg,4,different,50
images/main/4_150_same.jpg,4,same,150
images/main/4_150_different.jpg,4,different,150
images/main/5_50_same.jpg,5,same,50
images/main/5_50_different.jpg,5,different,50
images/main/5_150_same.jpg,5,same,150
images/main/5_150_different.jpg,5,different,150
images/main/6_50_same.jpg,6,same,50
images/main/6_50_different.jpg,6,different,50
images/main/6_150_same.jpg,6,same,150
images/main/6_150_different.jpg,6,different,150
images/main/7_50_same.jpg,7,same,50
images/main/7_50_different.jpg,7,different,50
images/main/7_150_same.jpg,7,same,150
images/main/7_150_different.jpg,7,different,150
images/main/8_50_same.jpg,8,same,50
images/main/8_50_different.jpg,8,different,50
images/main/8_150_same.jpg,8,same,150
images/main/8_150_different.jpg,8,different,150
images/main/9_50_same.jpg,9,same,50
images/main/9_50_different.jpg,9,different,50
images/main/9_150_same.jpg,9,same,150
images/main/9_150_different.jpg,9,different,150
images/main/10_50_same.jpg,10,same,50
images/main/10_50_different.jpg,10,different,50
images/main/10_150_same.jpg,10,same,150
images/main/10_150_different.jpg,10,different,150
images/main/11_50_same.jpg,11,same,50
images/main/11_50_different.jpg,11,different,50
images/main/11_150_same.jpg,11,same,150
images/main/11_150_different.jpg,11,different,150
images/main/12_50_same.jpg,12,same,50
images/main/12_50_different.jpg,12,different,50
images/main/12_150_same.jpg,12,same,150
images/main/12_150_different.jpg,12,different,150
